,Division,District,2020/04/12
0,Chattogram,Cumilla,9
1,Chattogram,Feni,0
2,Chattogram,Brahmanbaria,6
3,Chattogram,Rangamati,0
4,Chattogram,Noakhali,0
5,Chattogram,Chandpur,6
6,Chattogram,Lakshmipur,1
7,Chattogram,Chattogram,12
8,Chattogram,Coxsbazar,1
9,Chattogram,Khagrachhari,0
10,Chattogram,Bandarban,0
11,Rajshahi,Sirajganj,0
12,Rajshahi,Pabna,0
13,Rajshahi,Bogura,0
14,Rajshahi,Rajshahi,0
15,Rajshahi,Natore,0
16,Rajshahi,Joypurhat,0
17,Rajshahi,Chapainawabganj,0
18,Rajshahi,Naogaon,0
19,Khulna,Jashore,0
20,Khulna,Satkhira,0
21,Khulna,Meherpur,0
22,Khulna,Narail,0
23,Khulna,Chuadanga,1
24,Khulna,Kushtia,0
25,Khulna,Magura,0
26,Khulna,Khulna,0
27,Khulna,Bagerhat,0
28,Khulna,Jhenaidah,0
29,Barishal,Jhalakathi,3
30,Barishal,Patuakhali,1
31,Barishal,Pirojpur,0
32,Barishal,Barishal,0
33,Barishal,Bhola,0
34,Barishal,Barguna,3
35,Sylhet,Sylhet,1
36,Sylhet,Moulvibazar,1
37,Sylhet,Habiganj,1
38,Sylhet,Sunamganj,0
39,Dhaka,Narsingdi,4
40,Dhaka,Gazipur,23
41,Dhaka,Shariatpur,1
42,Dhaka,Narayanganj,107
43,Dhaka,Tangail,2
44,Dhaka,Kishoreganj,10
45,Dhaka,Manikganj,5
46,Dhaka,Dhaka,335
47,Dhaka,Munshiganj,14
48,Dhaka,Rajbari,6
49,Dhaka,Madaripur,19
50,Dhaka,Gopalganj,3
51,Dhaka,Faridpur,0
52,Rangpur,Panchagarh,0
53,Rangpur,Dinajpur,0
54,Rangpur,Lalmonirhat,1
55,Rangpur,Nilphamari,3
56,Rangpur,Gaibandha,6
57,Rangpur,Thakurgaon,3
58,Rangpur,Rangpur,2
59,Rangpur,Kurigram,0
60,Mymensingh,Sherpur,2
61,Mymensingh,Mymensingh,5
62,Mymensingh,Jamalpur,6
63,Mymensingh,Netrokona,1
