Division,District,2020/04/27,2020/04/29,2020/04/30,2020/05/01,2020/05/02,2020/05/03,2020/05/04,2020/05/05,2020/05/06
Chattogram,Cumilla,4,4,4,4,4,4,4,4,4
Chattogram,Feni,0,0,0,0,0,0,0,0,0
Chattogram,Brahmanbaria,2,2,2,2,2,2,2,2,2
Chattogram,Rangamati,0,0,0,0,0,0,0,0,0
Chattogram,Noakhali,1,1,1,1,1,1,1,1,1
Chattogram,Chandpur,0,0,0,0,0,0,0,0,0
Chattogram,Lakshmipur,1,1,1,1,1,1,1,1,1
Chattogram,Chattogram,2,2,2,2,2,2,2,2,2
Chattogram,Coxsbazar,0,0,0,0,0,0,0,0,0
Chattogram,Khagrachhari,0,0,0,0,0,0,0,0,0
Chattogram,Bandarban,0,0,0,0,0,0,0,0,0
Rajshahi,Sirajganj,0,0,0,0,0,0,0,0,0
Rajshahi,Pabna,0,0,0,1,1,1,1,1,1
Rajshahi,Bogura,0,0,0,0,0,0,0,0,0
Rajshahi,Rajshahi,1,0,0,2,0,2,2,2,2
Rajshahi,Natore,0,0,0,0,0,0,0,0,0
Rajshahi,Joypurhat,0,1,1,1,1,1,1,1,1
Rajshahi,Chapainawabganj,0,0,0,0,0,0,0,0,0
Rajshahi,Naogaon,0,0,0,0,0,0,0,0,0
Khulna,Jessore,0,0,0,0,0,0,0,0,0
Khulna,Satkhira,0,0,0,0,0,0,0,0,0
Khulna,Meherpur,1,1,1,1,1,1,1,1,1
Khulna,Narail,0,0,0,0,0,0,0,0,0
Khulna,Chuadanga,0,0,0,0,0,0,0,0,0
Khulna,Kushtia,0,0,0,0,0,0,0,0,0
Khulna,Magura,0,0,0,0,0,0,0,0,0
Khulna,Khulna,0,0,0,0,0,0,0,0,0
Khulna,Bagerhat,0,0,0,0,0,0,0,0,0
Khulna,Jhenaidah,0,0,0,0,0,0,0,0,0
Barishal,Jhalakathi,0,0,0,0,0,0,0,0,0
Barishal,Patuakhali,1,1,1,1,1,1,1,1,1
Barishal,Pirojpur,0,0,0,0,0,0,0,0,0
Barishal,Barishal,0,0,0,0,0,0,0,0,0
Barishal,Bhola,0,0,0,0,0,0,0,0,0
Barishal,Barguna,1,1,1,1,1,1,1,1,1
Sylhet,Sylhet,2,2,2,2,2,2,2,2,2
Sylhet,Moulvibazar,2,2,2,2,2,2,3,3,3
Sylhet,Habiganj,0,0,0,0,0,0,0,0,0
Sylhet,Sunamganj,0,0,0,0,0,0,0,0,0
Dhaka,Narsingdi,1,1,1,1,1,1,1,1,1
Dhaka,Gazipur,0,0,0,0,0,0,0,0,0
Dhaka,Shariatpur,1,1,1,1,1,1,1,1,1
Dhaka,Narayanganj,39,39,39,39,39,40,40,40,41
Dhaka,Tangail,2,2,3,3,3,3,3,3,3
Dhaka,Kishoreganj,1,1,1,1,1,1,1,1,1
Dhaka,Manikganj,0,0,0,0,0,0,0,0,0
Dhaka,Dhaka,79,88,92,93,98,98,101,101,103
Dhaka,Munshiganj,3,4,4,4,4,4,4,4,4
Dhaka,Rajbari,0,0,0,0,0,0,0,0,0
Dhaka,Madaripur,2,2,2,2,2,2,2,2,2
Dhaka,Gopalganj,0,0,0,0,0,0,0,0,0
Dhaka,Faridpur,0,0,0,0,0,0,0,0,0
Rangpur,Panchagarh,0,0,0,0,0,0,0,0,0
Rangpur,Dinajpur,0,0,0,0,0,0,0,1,1
Rangpur,Lalmonirhat,0,0,0,0,0,0,0,0,0
Rangpur,Nilphamari,0,0,0,0,0,0,0,0,0
Rangpur,Gaibandha,0,0,0,0,0,0,0,0,0
Rangpur,Thakurgaon,0,0,0,0,0,0,0,0,0
Rangpur,Rangpur,0,0,0,0,0,1,1,1,1
Rangpur,Kurigram,0,0,0,0,0,0,0,0,0
Mymensingh,Sherpur,0,0,0,0,0,0,0,0,0
Mymensingh,Mymensingh,2,2,2,2,2,2,3,3,3
Mymensingh,Jamalpur,3,3,3,3,3,3,3,3,3
Mymensingh,Netrokona,0,0,0,0,0,0,0,0,0
